ZCTA,MODZCTA,ZCTA_str,zip_code,Value,Count,modzcta_count,mod_idx,tract,zip,usps_zip_pref_city,usps_zip_pref_state,res_ratio,bus_ratio,oth_ratio,tot_ratio
10010.0,10010.0,10010,10010.0,10010 Gramercy Park - Murray Hill (Manhattan),4.0,4.0,89.0,36061005800,10010,NEW YORK,NY,0.74756629741524,0.679558011049723,0.603603603603603,0.707070707070707
10010.0,10010.0,10010,10010.0,10010 Gramercy Park - Murray Hill (Manhattan),4.0,4.0,89.0,36061006000,10010,NEW YORK,NY,1.0,0.88235294117647,0.929824561403508,0.99778024417314
10010.0,10010.0,10010,10010.0,10010 Gramercy Park - Murray Hill (Manhattan),4.0,4.0,89.0,36061006200,10010,NEW YORK,NY,0.833238474672737,0.806451612903225,0.8,0.83064935064935
10010.0,10010.0,10010,10010.0,10010 Gramercy Park - Murray Hill (Manhattan),4.0,4.0,89.0,36061006400,10010,NEW YORK,NY,0.825825337453244,0.882697947214076,0.799426934097421,0.827313934785787
10010.0,10010.0,10010,10010.0,10010 Gramercy Park - Murray Hill (Manhattan),4.0,4.0,89.0,36061006600,10010,NEW YORK,NY,0.502879581151832,0.542713567839195,0.593023255813953,0.507637785653183
10010.0,10010.0,10010,10010.0,10010 Gramercy Park - Murray Hill (Manhattan),4.0,4.0,89.0,36061006800,10010,NEW YORK,NY,0.629392971246006,0.410179640718562,0.585798816568047,0.600899586676391
10010.0,10010.0,10010,10010.0,10010 Gramercy Park - Murray Hill (Manhattan),4.0,4.0,89.0,36061008700,10010,NEW YORK,NY,0.00804154799798961,0.0206327372764786,0.0082135523613963,0.00932757900598635
10010.0,10010.0,10010,10010.0,10010 Gramercy Park - Murray Hill (Manhattan),4.0,4.0,89.0,36061009100,10010,NEW YORK,NY,0.00315126050420168,0.02081362346263,0.0244498777506112,0.00754898811435913
10011.0,10011.0,10011,10011.0,10011 Chelsea - Clinton (Manhattan),6.0,6.0,85.0,36061005400,10011,NEW YORK,NY,0.978821612815639,0.813178294573643,0.875586854460093,0.931098351546582
10011.0,10011.0,10011,10011.0,10011 Chelsea - Clinton (Manhattan),6.0,6.0,85.0,36061005900,10011,NEW YORK,NY,0.108249003373198,0.064516129032258,0.0386740331491712,0.102213719595517
10011.0,10011.0,10011,10011.0,10011 Chelsea - Clinton (Manhattan),6.0,6.0,85.0,36061006300,10011,NEW YORK,NY,1.0,0.99403578528827,1.0,0.999436302142051
10011.0,10011.0,10011,10011.0,10011 Chelsea - Clinton (Manhattan),6.0,6.0,85.0,36061006500,10011,NEW YORK,NY,0.105562130177514,0.0845070422535211,0.149532710280373,0.10836868492094
