ZCTA,MODZCTA,ZCTA_str,zip_code,Value,Count,modzcta_count,mod_idx,TRACT,ZIP,RES_RATIO,BUS_RATIO,OTH_RATIO,TOT_RATIO
10462,10462,10462,10462,10462 Pelham - Throgs Neck (Bronx),2,2,10,36005021200,10462,1,1,1,1
10452,10452,10452,10452,10452 High Bridge - Morrisania (Bronx),4,4,19,36005021301,10452,1,1,1,1
10452,10452,10452,10452,10452 High Bridge - Morrisania (Bronx),4,4,19,36005021302,10452,1,1,1,1
10453,10453,10453,10453,10453 Crotona -Tremont (Bronx),73,73,15,36005021501,10453,1,1,1,1
10453,10453,10453,10453,10453 Crotona -Tremont (Bronx),73,73,15,36005021502,10453,0.893671976,0.571428571,0.900621118,0.884420148
10460,10460,10460,10460,,,0,17,36005021601,10460,0.768841395,0.613333333,0.766839378,0.762952102
10462,10462,10462,10462,10462 Pelham - Throgs Neck (Bronx),2,2,10,36005021602,10462,1,0.995169082,1,0.999734184
10453,10453,10453,10453,10453 Crotona -Tremont (Bronx),73,73,15,36005021700,10453,0.808388942,0.947368421,0.880733945,0.816469558
10460,10460,10460,10460,,,0,17,36005021800,10460,1,1,1,1
10452,10452,10452,10452,10452 High Bridge - Morrisania (Bronx),4,4,19,36005021900,10452,1,1,1,1
10460,10460,10460,10460,,,0,17,36005022000,10460,0.667716535,0.811764706,0.628571429,0.679746835
10452,10452,10452,10452,10452 High Bridge - Morrisania (Bronx),4,4,19,36005022101,10452,1,1,1,1
10452,10452,10452,10452,10452 High Bridge - Morrisania (Bronx),4,4,19,36005022102,10452,1,1,1,1
10462,10462,10462,10462,10462 Pelham - Throgs Neck (Bronx),2,2,10,36005022200,10462,1,0.961538462,1,0.99459094
10452,10452,10452,10452,10452 High Bridge - Morrisania (Bronx),4,4,19,36005022300,10452,1,1,1,1
10462,10462,10462,10462,10462 Pelham - Throgs Neck (Bronx),2,2,10,36005022401,10462,1,0.980769231,1,0.999151104
10462,10462,10462,10462,10462 Pelham - Throgs Neck (Bronx),2,2,10,36005022403,10462,1,1,1,1
10462,10462,10462,10462,10462 Pelham - Throgs Neck (Bronx),2,2,10,36005022404,10462,1,1,1,1
10457,10457,10457,10457,10457 Crotona -Tremont (Bronx),3,3,16,36005022500,10457,0.752733389,0.472222222,0.677777778,0.742125984
10453,10453,10453,10453,10453 Crotona -Tremont (Bronx),73,73,15,36005022701,10453,1,1,1,1
10452,10452,10452,10452,10452 High Bridge - Morrisania (Bronx),4,4,19,36005022702,10452,1,1,1,1
10457,10457,10457,10457,10457 Crotona -Tremont (Bronx),3,3,16,36005022703,10457,1,1,1,1
10462,10462,10462,10462,10462 Pelham - Throgs Neck (Bronx),2,2,10,36005022800,10462,1,1,1,1
10457,10457,10457,10457,10457 Crotona -Tremont (Bronx),3,3,16,36005022901,10457,1,1,1,1
10457,10457,10457,10457,10457 Crotona -Tremont (Bronx),3,3,16,36005022902,10457,1,1,1,1
10462,10462,10462,10462,10462 Pelham - Throgs Neck (Bronx),2,2,10,36005023000,10462,1,1,1,1
10457,10457,10457,10457,10457 Crotona -Tremont (Bronx),3,3,16,36005023100,10457,1,1,1,1
10462,10462,10462,10462,10462 Pelham - Throgs Neck (Bronx),2,2,10,36005023200,10462,1,1,1,1
10453,10453,10453,10453,10453 Crotona -Tremont (Bronx),73,73,15,36005023301,10453,1,1,1,1
10457,10457,10457,10457,10457 Crotona -Tremont (Bronx),3,3,16,36005023302,10457,1,1,1,1
10453,10453,10453,10453,10453 Crotona -Tremont (Bronx),73,73,15,36005023501,10453,1,1,1,1
10457,10457,10457,10457,10457 Crotona -Tremont (Bronx),3,3,16,36005023502,10457,1,1,1,1
10462,10462,10462,10462,10462 Pelham - Throgs Neck (Bronx),2,2,10,36005023600,10462,0.806049822,0.894736842,0.86440678,0.825806452
10458,10458,10458,10458,10458 Fordham - Bronx Pk (Bronx),2,2,5,36005023702,10458,1,1,1,1
10468,10468,10468,10468,10468 Fordham - Bronx Pk (Bronx),2,2,7,36005023703,10468,0.99938763,0.916666667,1,0.992146597
10453,10453,10453,10453,10453 Crotona -Tremont (Bronx),73,73,15,36005023704,10453,1,1,1,1
10462,10462,10462,10462,10462 Pelham - Throgs Neck (Bronx),2,2,10,36005023800,10462,1,1,1,1
10468,10468,10468,10468,10468 Fordham - Bronx Pk (Bronx),2,2,7,36005023900,10468,0.506939372,0.484210526,0.540983607,0.507553841
10460,10460,10460,10460,,,0,17,36005024000,10460,0.970740103,0.940298507,0.966666667,0.968772179
10453,10453,10453,10453,10453 Crotona -Tremont (Bronx),73,73,15,36005024100,10453,1,1,1,1
10453,10453,10453,10453,10453 Crotona -Tremont (Bronx),73,73,15,36005024300,10453,1,1,1,1
10462,10462,10462,10462,10462 Pelham - Throgs Neck (Bronx),2,2,10,36005024400,10462,1,1,1,1
10453,10453,10453,10453,10453 Crotona -Tremont (Bronx),73,73,15,36005024501,10453,1,1,1,1
10453,10453,10453,10453,10453 Crotona -Tremont (Bronx),73,73,15,36005024502,10453,1,1,1,1
10462,10462,10462,10462,10462 Pelham - Throgs Neck (Bronx),2,2,10,36005024600,10462,1,1,1,1
10453,10453,10453,10453,10453 Crotona -Tremont (Bronx),73,73,15,36005024700,10453,1,1,1,1
10461,10461,10461,10461,10461 Pelham - Throgs Neck (Bronx),1,1,9,36005024800,10461,0.658869396,0.947368421,0.813953488,0.688552189
10453,10453,10453,10453,10453 Crotona -Tremont (Bronx),73,73,15,36005024900,10453,1,1,1,1
10461,10461,10461,10461,10461 Pelham - Throgs Neck (Bronx),1,1,9,36005025000,10461,0.770956316,0.966101695,0.652777778,0.77402863
10453,10453,10453,10453,10453 Crotona -Tremont (Bronx),73,73,15,36005025100,10453,1,1,1,1
10462,10462,10462,10462,10462 Pelham - Throgs Neck (Bronx),2,2,10,36005025200,10462,0.719337017,0.447368421,0.692857143,0.689387403
10468,10468,10468,10468,10468 Fordham - Bronx Pk (Bronx),2,2,7,36005025300,10468,0.990004543,0.855421687,0.961783439,0.983613273
10461,10461,10461,10461,10461 Pelham - Throgs Neck (Bronx),1,1,9,36005025400,10461,1,1,1,1
10468,10468,10468,10468,10468 Fordham - Bronx Pk (Bronx),2,2,7,36005025500,10468,0.720127215,0.795918367,0.826388889,0.728070175
10461,10461,10461,10461,10461 Pelham - Throgs Neck (Bronx),1,1,9,36005025600,10461,0.989169675,0.85106383,1,0.979266348
10468,10468,10468,10468,10468 Fordham - Bronx Pk (Bronx),2,2,7,36005025700,10468,1,1,1,1
10468,10468,10468,10468,10468 Fordham - Bronx Pk (Bronx),2,2,7,36005026100,10468,1,1,1,1
10468,10468,10468,10468,10468 Fordham - Bronx Pk (Bronx),2,2,7,36005026300,10468,1,1,1,1
10461,10461,10461,10461,10461 Pelham - Throgs Neck (Bronx),1,1,9,36005026400,10461,1,1,1,1
10468,10468,10468,10468,10468 Fordham - Bronx Pk (Bronx),2,2,7,36005026500,10468,1,1,1,1
10461,10461,10461,10461,10461 Pelham - Throgs Neck (Bronx),1,1,9,36005026601,10461,1,1,1,1
10461,10461,10461,10461,10461 Pelham - Throgs Neck (Bronx),1,1,9,36005026602,10461,1,1,1,1
10468,10468,10468,10468,10468 Fordham - Bronx Pk (Bronx),2,2,7,36005026701,10468,1,1,1,1
10468,10468,10468,10468,10468 Fordham - Bronx Pk (Bronx),2,2,7,36005026702,10468,1,1,1,1
10463,10463,10463,10463,10463 Kingsbridge - Riverdale (Bronx),2,2,0,36005026900,10463,0.654313487,0.814814815,0.547945205,0.654822335
10463,10463,10463,10463,10463 Kingsbridge - Riverdale (Bronx),2,2,0,36005027300,10463,0.689587426,0.625,0.678321678,0.688235294
10465,10465,10465,10465,,,0,12,36005027401,10465,1,1,1,1
10465,10465,10465,10465,,,0,12,36005027402,10465,1,1,1,1
10461,10461,10461,10461,10461 Pelham - Throgs Neck (Bronx),1,1,9,36005027600,10461,0.625,1,1,0.769230769
10463,10463,10463,10463,10463 Kingsbridge - Riverdale (Bronx),2,2,0,36005027700,10463,1,1,1,1
10463,10463,10463,10463,10463 Kingsbridge - Riverdale (Bronx),2,2,0,36005027900,10463,1,1,1,1
10463,10463,10463,10463,10463 Kingsbridge - Riverdale (Bronx),2,2,0,36005028100,10463,1,1,1,1
10463,10463,10463,10463,10463 Kingsbridge - Riverdale (Bronx),2,2,0,36005028300,10463,1,1,1,1
10461,10461,10461,10461,10461 Pelham - Throgs Neck (Bronx),1,1,9,36005028400,10461,1,0.974358974,1,0.979166667
10463,10463,10463,10463,10463 Kingsbridge - Riverdale (Bronx),2,2,0,36005028500,10463,0.864321608,0.638554217,0.892156863,0.856275304
10461,10461,10461,10461,10461 Pelham - Throgs Neck (Bronx),1,1,9,36005028600,10461,1,1,1,1
10463,10463,10463,10463,10463 Kingsbridge - Riverdale (Bronx),2,2,0,36005028700,10463,1,1,1,1
10461,10461,10461,10461,10461 Pelham - Throgs Neck (Bronx),1,1,9,36005028800,10461,1,1,1,1
10463,10463,10463,10463,10463 Kingsbridge - Riverdale (Bronx),2,2,0,36005028900,10463,1,1,1,1
10463,10463,10463,10463,10463 Kingsbridge - Riverdale (Bronx),2,2,0,36005029301,10463,1,1,1,1
10463,10463,10463,10463,10463 Kingsbridge - Riverdale (Bronx),2,2,0,36005029302,10463,1,1,1,1
10463,10463,10463,10463,10463 Kingsbridge - Riverdale (Bronx),2,2,0,36005029500,10463,1,1,1,1
10461,10461,10461,10461,10461 Pelham - Throgs Neck (Bronx),1,1,9,36005029600,10461,1,1,1,1
10463,10463,10463,10463,10463 Kingsbridge - Riverdale (Bronx),2,2,0,36005029700,10463,1,1,1,1
10461,10461,10461,10461,10461 Pelham - Throgs Neck (Bronx),1,1,9,36005030000,10461,1,1,1,1
10463,10463,10463,10463,10463 Kingsbridge - Riverdale (Bronx),2,2,0,36005030100,10463,1,1,1,1
10475,10475,10475,10475,10475 Northeast Bronx (Bronx),3,3,4,36005030200,10475,1,1,1,1
10471,10471,10471,10471,,,0,1,36005030701,10471,0.573892358,0.234375,0.608333333,0.568931491
10463,10463,10463,10463,10463 Kingsbridge - Riverdale (Bronx),2,2,0,36005030900,10463,0.621495327,0.421052632,0.677419355,0.620317821
10469,10469,10469,10469,10469 Northeast Bronx (Bronx),2,2,3,36005031000,10469,1,1,1,1
10469,10469,10469,10469,10469 Northeast Bronx (Bronx),2,2,3,36005031200,10469,1,1,1,1
10469,10469,10469,10469,10469 Northeast Bronx (Bronx),2,2,3,36005031400,10469,1,1,1,1
10469,10469,10469,10469,10469 Northeast Bronx (Bronx),2,2,3,36005031600,10469,1,1,1,1
10469,10469,10469,10469,10469 Northeast Bronx (Bronx),2,2,3,36005031800,10469,1,1,1,1
10471,10471,10471,10471,,,0,1,36005031900,10471,1,1,0,1
10471,10471,10471,10471,,,0,1,36005032300,10471,1,1,1,1
10469,10469,10469,10469,10469 Northeast Bronx (Bronx),2,2,3,36005032400,10469,1,1,1,1
10469,10469,10469,10469,10469 Northeast Bronx (Bronx),2,2,3,36005032600,10469,1,1,1,1
10467,10467,10467,10467,10467 Fordham - Bronx Pk (Bronx),5,5,6,36005032800,10467,0.857898215,0.905660377,0.881578947,0.861466822
10467,10467,10467,10467,10467 Fordham - Bronx Pk (Bronx),5,5,6,36005033000,10467,1,1,1,1
10467,10467,10467,10467,10467 Fordham - Bronx Pk (Bronx),5,5,6,36005033201,10467,1,1,1,1
10467,10467,10467,10467,10467 Fordham - Bronx Pk (Bronx),5,5,6,36005033202,10467,1,1,1,1
10462,10462,10462,10462,10462 Pelham - Throgs Neck (Bronx),2,2,10,36005033400,10462,0.95,0.230769231,0.333333333,0.833333333
10463,10463,10463,10463,10463 Kingsbridge - Riverdale (Bronx),2,2,0,36005033500,10463,0.67804878,0.45,0.72,0.673988439
10467,10467,10467,10467,10467 Fordham - Bronx Pk (Bronx),5,5,6,36005033600,10467,1,1,1,1
10471,10471,10471,10471,,,0,1,36005033700,10471,1,1,1,1
10467,10467,10467,10467,10467 Fordham - Bronx Pk (Bronx),5,5,6,36005033800,10467,1,1,1,1
10467,10467,10467,10467,10467 Fordham - Bronx Pk (Bronx),5,5,6,36005034000,10467,0.958267301,0.94,0.923444976,0.954460967
10469,10469,10469,10469,10469 Northeast Bronx (Bronx),2,2,3,36005034200,10469,1,1,1,1
10471,10471,10471,10471,,,0,1,36005034300,10471,1,1,1,1
10469,10469,10469,10469,10469 Northeast Bronx (Bronx),2,2,3,36005034400,10469,1,1,1,1
10471,10471,10471,10471,,,0,1,36005034500,10471,1,1,1,1
10469,10469,10469,10469,10469 Northeast Bronx (Bronx),2,2,3,36005034800,10469,1,1,1,1
10469,10469,10469,10469,10469 Northeast Bronx (Bronx),2,2,3,36005035000,10469,1,1,1,1
