Unnamed: 0,tract,zip,usps_zip_pref_city,usps_zip_pref_state,res_ratio,bus_ratio,oth_ratio,tot_ratio,FIPS,ZCTA,MODZCTA,ZCTA_str,zip_tai,Tai_idx,mods,mod_idx
144,36005017701,10456,BRONX,NY,1.0,1.0,1.0,1.0,36005,10456,10456,10456,10456.0,20,10456,20
146,36005017702,10456,BRONX,NY,0.996143959,0.978021978,0.989304813,0.994547437,36005,10456,10456,10456,10456.0,20,10456,20
147,36005017901,10456,BRONX,NY,1.0,1.0,1.0,1.0,36005,10456,10456,10456,10456.0,20,10456,20
148,36005017902,10456,BRONX,NY,1.0,1.0,1.0,1.0,36005,10456,10456,10456,10456.0,20,10456,20
149,36005018101,10456,BRONX,NY,1.0,1.0,1.0,1.0,36005,10456,10456,10456,10456.0,20,10456,20
150,36005018102,10456,BRONX,NY,1.0,1.0,1.0,1.0,36005,10456,10456,10456,10456.0,20,10456,20
152,36005018301,10451,BRONX,NY,0.786710037,0.97826087,0.755102041,0.793720017,36005,10451,10451,10451,10451.0,18,10451,18
154,36005018302,10456,BRONX,NY,0.798742138,0.118421053,0.701492537,0.724005135,36005,10456,10456,10456,10456.0,20,10456,20
155,36005018400,10461,BRONX,NY,1.0,1.0,1.0,1.0,36005,10461,10461,10461,10461.0,9,10461,9
156,36005018500,10456,BRONX,NY,1.0,0.949685535,1.0,0.996599362,36005,10456,10456,10456,10456.0,20,10456,20
158,36005018900,10452,BRONX,NY,1.0,1.0,1.0,1.0,36005,10452,10452,10452,10452.0,19,10452,19
159,36005019300,10452,BRONX,NY,1.0,1.0,1.0,1.0,36005,10452,10452,10452,10452.0,19,10452,19
160,36005019400,10461,BRONX,NY,0.78659612,0.840425532,0.845070423,0.803237858,36005,10461,10461,10461,10461.0,9,10461,9
162,36005019500,10452,BRONX,NY,1.0,0.837606838,1.0,0.993817117,36005,10452,10452,10452,10452.0,19,10452,19
164,36005019700,10452,BRONX,NY,1.0,1.0,1.0,1.0,36005,10452,10452,10452,10452.0,19,10452,19
165,36005019900,10452,BRONX,NY,1.0,1.0,1.0,1.0,36005,10452,10452,10452,10452.0,19,10452,19
166,36005020000,10461,BRONX,NY,1.0,1.0,1.0,1.0,36005,10461,10461,10461,10461.0,9,10461,9
167,36005020100,10452,BRONX,NY,1.0,1.0,1.0,1.0,36005,10452,10452,10452,10452.0,19,10452,19
169,36005020200,10461,BRONX,NY,0.562082777,0.507246377,0.504761905,0.551462622,36005,10461,10461,10461,10461.0,9,10461,9
170,36005020400,10461,BRONX,NY,0.740621651,0.648148148,0.760180995,0.740066225,36005,10461,10461,10461,10461.0,9,10461,9
172,36005020501,10453,BRONX,NY,1.0,1.0,1.0,1.0,36005,10453,10453,10453,10453.0,15,10453,15
173,36005020502,10453,BRONX,NY,1.0,1.0,1.0,1.0,36005,10453,10453,10453,10453.0,15,10453,15
174,36005020601,10462,BRONX,NY,1.0,1.0,1.0,1.0,36005,10462,10462,10462,10462.0,10,10462,10
175,36005020900,10452,BRONX,NY,1.0,1.0,1.0,1.0,36005,10452,10452,10452,10452.0,19,10452,19
176,36005021001,10462,BRONX,NY,1.0,1.0,1.0,1.0,36005,10462,10462,10462,10462.0,10,10462,10
177,36005021002,10462,BRONX,NY,1.0,1.0,1.0,1.0,36005,10462,10462,10462,10462.0,10,10462,10
178,36005021100,10452,BRONX,NY,1.0,1.0,1.0,1.0,36005,10452,10452,10452,10452.0,19,10452,19
179,36005021200,10462,BRONX,NY,1.0,1.0,1.0,1.0,36005,10462,10462,10462,10462.0,10,10462,10
180,36005021301,10452,BRONX,NY,1.0,1.0,1.0,1.0,36005,10452,10452,10452,10452.0,19,10452,19
181,36005021302,10452,BRONX,NY,1.0,1.0,1.0,1.0,36005,10452,10452,10452,10452.0,19,10452,19
182,36005021501,10453,BRONX,NY,1.0,1.0,1.0,1.0,36005,10453,10453,10453,10453.0,15,10453,15
184,36005021502,10453,BRONX,NY,0.936380773,0.577464789,0.937853107,0.925738397,36005,10453,10453,10453,10453.0,15,10453,15
185,36005021601,10460,BRONX,NY,0.780276817,0.647058824,0.773399015,0.775062344,36005,10460,10460,10460,10460.0,17,10460,17
188,36005021602,10462,BRONX,NY,1.0,0.995327103,1.0,0.999730313,36005,10462,10462,10462,10462.0,10,10462,10
189,36005021700,10453,BRONX,NY,0.809340395,0.945205479,0.890756303,0.81798149,36005,10453,10453,10453,10453.0,15,10453,15
191,36005021800,10460,BRONX,NY,1.0,1.0,1.0,1.0,36005,10460,10460,10460,10460.0,17,10460,17
192,36005021900,10452,BRONX,NY,0.996751489,1.0,0.931818182,0.995695839,36005,10452,10452,10452,10452.0,19,10452,19
194,36005022000,10460,BRONX,NY,0.685358255,0.8,0.628205128,0.69125,36005,10460,10460,10460,10460.0,17,10460,17
196,36005022101,10452,BRONX,NY,1.0,1.0,1.0,1.0,36005,10452,10452,10452,10452.0,19,10452,19
197,36005022102,10452,BRONX,NY,1.0,1.0,1.0,1.0,36005,10452,10452,10452,10452.0,19,10452,19
199,36005022200,10462,BRONX,NY,1.0,0.96,1.0,0.994436718,36005,10462,10462,10462,10462.0,10,10462,10
200,36005022300,10452,BRONX,NY,1.0,1.0,1.0,1.0,36005,10452,10452,10452,10452.0,19,10452,19
201,36005022401,10462,BRONX,NY,1.0,0.979591837,1.0,0.999146758,36005,10462,10462,10462,10462.0,10,10462,10
203,36005022403,10462,BRONX,NY,1.0,1.0,1.0,1.0,36005,10462,10462,10462,10462.0,10,10462,10
204,36005022404,10462,BRONX,NY,1.0,1.0,1.0,1.0,36005,10462,10462,10462,10462.0,10,10462,10
205,36005022500,10457,BRONX,NY,0.751697793,0.464788732,0.696969697,0.741488519,36005,10457,10457,10457,10457.0,16,10457,16
207,36005022701,10453,BRONX,NY,1.0,1.0,1.0,1.0,36005,10453,10453,10453,10453.0,15,10453,15
208,36005022702,10452,BRONX,NY,1.0,1.0,1.0,1.0,36005,10452,10452,10452,10452.0,19,10452,19
209,36005022703,10457,BRONX,NY,1.0,1.0,1.0,1.0,36005,10457,10457,10457,10457.0,16,10457,16
210,36005022800,10462,BRONX,NY,1.0,1.0,1.0,1.0,36005,10462,10462,10462,10462.0,10,10462,10
211,36005022901,10457,BRONX,NY,1.0,1.0,1.0,1.0,36005,10457,10457,10457,10457.0,16,10457,16
212,36005022902,10457,BRONX,NY,1.0,1.0,1.0,1.0,36005,10457,10457,10457,10457.0,16,10457,16
213,36005023000,10462,BRONX,NY,1.0,1.0,1.0,1.0,36005,10462,10462,10462,10462.0,10,10462,10
214,36005023100,10457,BRONX,NY,1.0,1.0,1.0,1.0,36005,10457,10457,10457,10457.0,16,10457,16
