MODZCTA,weighted_no_health_insurance,weighted_No_vehicle,weighted_Household_num,weighted_household_income_mean,weighted_Bachelor,weighted_Population,weighted_estimated_average_age_mean,weighted_Black,weighted_Hispanic,median_median_age
10466.0,5735.104652968392,10127.006848817398,23494.94762682878,67516.10455523457,6977.26460587336,84587.23909289495,37.754012765990076,46223.0781192374,19589.65970253258,36.3
10467.0,6606.049102212974,18174.828412815405,29757.269248055396,45120.1853196548,6624.105229271115,111335.96348136738,34.972050935672534,25907.806978331417,41191.42838918412,35.9
10468.0,7321.669920798459,19275.581308191937,26751.77493741292,40470.61554050353,5286.357062098509,130854.19660931724,34.95188717807916,17116.13752236094,61248.47408184153,33.1
10469.0,3791.27555792707,7710.92520732362,22516.088129222855,73093.67515449847,8509.215520475433,88019.08079984185,38.74716516713951,40621.35297595782,20501.34741957318,37.599999999999994
10470.0,1538.3395399024819,2460.3177261995206,6537.442612322187,73683.04463930355,3261.4398351252776,19124.34571982702,40.45835488156427,6497.749733930663,3276.0578596895325,40.775
10471.0,718.7000407062494,2870.706200198453,9426.126512050007,101015.4327751982,4457.075532567432,27555.895447413746,40.74823211246431,2215.193927439557,6378.0805157617515,42.025
10472.0,8287.0,13661.0,21876.0,39630.333333333336,4491.0,102633.0,35.07770583383448,18570.0,40328.0,33.2
10473.0,2369.436974789916,7821.680672268907,18719.36974789916,55714.469718309854,5065.050420168067,72018.5294117647,37.98951034141346,19090.495798319327,32114.96638655462,37.025
10474.0,162.0,1004.0,1377.0,23791.0,182.0,6636.0,34.28487016016172,1661.0,2768.0,30.650000000000002
10475.0,34.31946308724824,65.10604026845623,294.4912751677845,104190.0,118.35167785234871,1078.5395973154336,38.8768132896584,540.5315436241598,290.9583892617443,43.4
11004.0,198.80490251861966,768.1232832046193,4289.424834458938,80642.58429764083,2511.768615411942,12157.823009594313,57.14424787197825,145.54697323617438,893.959966743682,65.9
11101.0,631.9065183267036,4531.228394667113,6065.4574222993315,71994.11619757953,2154.7416169583757,16118.975422580359,39.02597346725083,3007.576544577326,4209.904842137436,37.3
11102.0,1957.9981360843385,7501.753604865589,12955.840765604125,89583.35485387595,8106.067805840976,33796.80222140327,37.90079298282124,1949.0781367631728,7537.719577565783,35.75
11103.0,3623.696456771732,9305.370993324843,15216.26143014154,82016.36663394731,10014.734771964359,41500.87827817395,37.45597864946088,1106.853896213604,9115.697892359494,35.575
11104.0,1660.996850301292,6550.018469169303,11429.54365101322,77334.12847792648,6300.128918217942,30030.41930562272,39.834222713994635,598.8230697843179,7418.2118422739595,40.1
11105.0,2943.9867680595066,6723.139393833187,15143.407407504219,93568.89025431662,9725.93169227836,42673.279075097234,37.817077680149964,1235.245662850077,8183.707372471969,35.45
