ZCTA,MODZCTA,ZCTA_str,zip_code,zcta,source,Value,Count
11217,11217,11217,11217.0,11217.0,geonames,11217 Downtown - Heights - Slope (Brooklyn),4.0
11218,11218,11218,11218.0,11218.0,geonames,11218 Borough Park (Brooklyn),2.0
11219,11219,11219,11219.0,11219.0,geonames,,
11220,11220,11220,11220.0,11220.0,geonames,11220 Sunset Park (Brooklyn),57.0
11221,11221,11221,11221.0,11221.0,geonames,11221 Williamsburg - Bushwick (Brooklyn),3.0
11222,11222,11222,11222.0,11222.0,geonames,11222 Greenpoint (Brooklyn),1.0
11223,11223,11223,11223.0,11223.0,geonames,11223 Coney Island - Sheepshead Bay (Brooklyn),2.0
11224,11224,11224,11224.0,11224.0,geonames,11224 Coney Island - Sheepshead Bay (Brooklyn),1.0
11225,11225,11225,11225.0,11225.0,geonames,11225 East Flatbush - Flatbush (Brooklyn),4.0
11226,11226,11226,11226.0,11226.0,geonames,11226 East Flatbush - Flatbush (Brooklyn),92.0
11228,11228,11228,11228.0,11228.0,geonames,11228 Bensonhurst - Bay Ridge (Brooklyn),2.0
11229,11229,11229,11229.0,11229.0,geonames,11229 Coney Island - Sheepshead Bay (Brooklyn),2.0
11230,11230,11230,11230.0,11230.0,geonames,11230 Borough Park (Brooklyn),1.0
11231,11231,11231,11231.0,11231.0,geonames,11231 Downtown - Heights - Slope (Brooklyn),2.0
11232,11232,11232,11232.0,11232.0,geonames,11232 Sunset Park (Brooklyn),1.0
11233,11233,11233,11233.0,11233.0,geonames,,
11234,11234,11234,11234.0,11234.0,geonames,11234 Canarsie - Flatlands (Brooklyn),99.0
11235,11235,11235,11235.0,11235.0,geonames,11235 Coney Island - Sheepshead Bay (Brooklyn),2.0
11236,11236,11236,11236.0,11236.0,geonames,11236 Canarsie - Flatlands (Brooklyn),6.0
11237,11237,11237,11237.0,11237.0,geonames,11237 Williamsburg - Bushwick (Brooklyn),1.0
11238,11238,11238,11238.0,11238.0,geonames,11238 Bedford Stuyvesant - Crown Heights (Brooklyn),3.0
11239,11239,11239,11239.0,11239.0,geonames,11239 Canarsie - Flatlands (Brooklyn),2.0
11351,11357,11351,11351.0,11351.0,geonames,11351 Flushing - Clearview (Queens),1.0
11354,11354,11354,11354.0,11354.0,geonames,,
11355,11355,11355,11355.0,11355.0,geonames,,
11356,11356,11356,11356.0,11356.0,geonames,,
11357,11357,11357,11357.0,11357.0,geonames,,
11358,11358,11358,11358.0,11358.0,geonames,,
11359,11360,11359,11359.0,11359.0,geonames,,
11360,11360,11360,11360.0,11360.0,geonames,,
11361,11361,11361,11361.0,11361.0,geonames,,
11362,11362,11362,11362.0,11362.0,geonames,,
11363,11363,11363,11363.0,11363.0,geonames,,
11364,11364,11364,11364.0,11364.0,geonames,,
11365,11365,11365,11365.0,11365.0,geonames,,
11366,11366,11366,11366.0,11366.0,geonames,,
11367,11367,11367,11367.0,11367.0,geonames,11367 Fresh Meadows (Queens),1.0
11368,11368,11368,11368.0,11368.0,geonames,,
11369,11369,11369,11369.0,11369.0,geonames,,
11370,11370,11370,11370.0,11370.0,geonames,,
11372,11372,11372,11372.0,11372.0,geonames,,
11373,11373,11373,11373.0,11373.0,geonames,11373 West Queens (Queens),2.0
11374,11374,11374,11374.0,11374.0,geonames,11374 Ridgewood - Forest Hills (Queens),2.0
11375,11375,11375,11375.0,11375.0,geonames,11375 Ridgewood - Forest Hills (Queens),40.0
11377,11377,11377,11377.0,11377.0,geonames,11377 West Queens (Queens),1.0
11378,11378,11378,11378.0,11378.0,geonames,,
11379,11379,11379,11379.0,11379.0,geonames,,
11385,11385,11385,11385.0,11385.0,geonames,11385 Ridgewood - Forest Hills (Queens),1.0
11411,11411,11411,11411.0,11411.0,geonames,,
11412,11412,11412,11412.0,11412.0,geonames,11412 Jamaica (Queens),3.0
11413,11413,11413,11413.0,11413.0,geonames,,
11414,11414,11414,11414.0,11414.0,geonames,,
11415,11415,11415,11415.0,11415.0,geonames,11415 Southwest Queens (Queens),2.0
11416,11416,11416,11416.0,11416.0,geonames,,
11417,11417,11417,11417.0,11417.0,geonames,11417 Southwest Queens (Queens),1.0
11418,11418,11418,11418.0,11418.0,geonames,,
11419,11419,11419,11419.0,11419.0,geonames,,
11420,11420,11420,11420.0,11420.0,geonames,11420 Southwest Queens (Queens),20.0
11421,11421,11421,11421.0,11421.0,geonames,,
11422,11422,11422,11422.0,11422.0,geonames,11422 Southeast Queens (Queens),1.0
11423,11423,11423,11423.0,11423.0,geonames,11423 Jamaica (Queens),1.0
11424,11415,11424,11424.0,11424.0,geonames,,
11425,11209,11425,11425.0,11425.0,geonames,,
11426,11426,11426,11426.0,11426.0,geonames,,
11427,11427,11427,11427.0,11427.0,geonames,11427 Southeast Queens (Queens),1.0
11428,11428,11428,11428.0,11428.0,geonames,11428 Southeast Queens (Queens),1.0
11429,11429,11429,11429.0,11429.0,geonames,,
11432,11432,11432,11432.0,11432.0,geonames,,
11433,11433,11433,11433.0,11433.0,geonames,11433 Jamaica (Queens),38.0
11434,11434,11434,11434.0,11434.0,geonames,11434 Jamaica (Queens),1.0
11435,11435,11435,11435.0,11435.0,geonames,11435 Jamaica (Queens),3.0
11436,11436,11436,11436.0,11436.0,geonames,11436 Jamaica (Queens),1.0
11451,11433,11451,11451.0,11451.0,geonames,,
11691,11691,11691,11691.0,11691.0,geonames,11691 Rockaways (Queens),1.0
11692,11692,11692,11692.0,11692.0,geonames,11692 Rockaways (Queens),4.0
11694,11694,11694,11694.0,11694.0,geonames,11694 Rockaways (Queens),2.0
11697,11697,11697,11697.0,11697.0,geonames,,
